team,avg
FIJ,3:15
RSA,3:22
NZL,3:54
ENG,3:48
AUS,3:31
USA,3:36
SCO,3:50
ARG,3:20
CAN,3:39
FRA,3:24
WAL,3:34
KEN,3:38
POR,3:35
JPN,3:24
